request_id,master_id,worker_id,query,start_time,end_time,latency,status,error
0,1,0,Query 0,1777567360.2841902,1777567360.3802037,0.09601354598999023,success,
1,2,4,Query 1,1777567360.2862055,1777567360.4405851,0.15437960624694824,success,
2,1,1,Query 2,1777567360.2883654,1777567360.5127487,0.22438335418701172,success,
3,2,5,Query 3,1777567360.2901545,1777567360.5692635,0.27910900115966797,success,
4,1,2,Query 4,1777567360.293486,1777567360.639292,0.3458058834075928,success,
5,2,6,Query 5,1777567360.2943172,1777567360.6958005,0.40148329734802246,success,
6,1,3,Query 6,1777567360.296679,1777567360.7657633,0.4690842628479004,success,
7,2,7,Query 7,1777567360.2981482,1777567360.8227615,0.5246133804321289,success,
8,1,0,Query 8,1777567360.2995944,1777567360.8832796,0.5836851596832275,success,
9,2,4,Query 9,1777567360.3009303,1777567360.9362853,0.6353549957275391,success,
