request_id,master_id,worker_id,query,start_time,end_time,latency,status,error
0,1,0,Query 0,1777567410.6316006,1777567410.779048,0.1474473476409912,success,
1,2,4,Query 1,1777567410.633617,1777567410.8355591,0.20194220542907715,success,
2,1,1,Query 2,1777567410.63566,1777567410.909517,0.27385711669921875,success,
3,2,5,Query 3,1777567410.6372132,1777567410.9793532,0.34213995933532715,success,
4,1,2,Query 4,1777567410.6386402,1777567411.0596826,0.42104244232177734,success,
5,2,6,Query 5,1777567410.6425066,1777567411.1310055,0.4884989261627197,success,
6,1,3,Query 6,1777567410.6461911,1777567411.199517,0.553325891494751,success,
7,2,7,Query 7,1777567410.6482024,1777567411.2715232,0.6233208179473877,success,
8,1,0,Query 8,1777567410.6501532,1777567411.3390331,0.6888799667358398,success,
9,2,4,Query 9,1777567410.6521769,1777567411.40255,0.750373125076294,success,
10,1,1,Query 10,1777567410.6537118,1777567411.47374,0.8200283050537109,success,
11,2,5,Query 11,1777567410.6615477,1777567411.5412462,0.8796985149383545,success,
12,1,2,Query 12,1777567410.6634114,1777567411.610764,0.9473526477813721,success,
13,2,6,Query 13,1777567410.6649349,1777567411.6767654,1.0118305683135986,success,
14,1,3,Query 14,1777567410.6668062,1777567411.752623,1.0858168601989746,success,
15,2,7,Query 15,1777567410.6688228,1777567411.8221374,1.1533145904541016,success,
16,1,0,Query 16,1777567410.6708493,1777567411.8906515,1.2198021411895752,success,
17,2,4,Query 17,1777567410.675019,1777567411.9509678,1.2759487628936768,success,
18,1,1,Query 18,1777567410.676279,1777567412.0294888,1.3532097339630127,success,
19,2,5,Query 19,1777567410.6804738,1777567412.0986495,1.4181756973266602,success,
